id,x,y,z,timestamp,tagType,floor,inZones,x_raw,y_raw,x_snap,y_snap
5410,37.061,24.069,4.7989955037505200,1751870705673,BLE,5,"[""966""]",33.96933954487950,23.12567182651680,37.0563,25.1888
5410,39.357,21.556,4.812662389303460,1751870700309,BLE,5,"[""966""]",40.18047482040300,24.852330339414700,39.3571,21.5556
5410,40.83,21.168,5.00546623657664,1751870695092,BLE,5,"[""966""]",35.25128613653550,23.62067498945420,40.8301,21.1676
5410,45.148,21.381,5.497106681768160,1751870689748,BLE,5,"[""966""]",41.67876936866410,21.881270074946400,45.1484,21.3808
5410,48.649,23.261,5.146903759192500,1751870684037,BLE,5,"[""966""]",42.74677545460320,21.687212717778200,48.6413,25.2357
5410,52.247,24.827,4.977928236056640,1751870677806,BLE,5,"[""966"",""1600""]",44.93253488682110,21.404220595875300,52.2454,25.2502
5410,55.846,25.976,4.999991895882090,1751870672222,BLE,5,"[""966""]",47.68887829654360,24.132839807295400,55.8488,25.2648
5410,58.153,26.054,3.667220884205320,1751870667200,BLE,5,"[""966""]",48.904802684018900,24.437273567857900,58.1563,25.2742
5410,61.402,25.044,4.9919960712649200,1751870661582,BLE,5,"[""966""]",51.82403854485570,23.46602545061520,61.4015,25.2873
5410,64.456,23.395,4.352322223700280,1751870655145,BLE,5,"[""966""]",61.400296853317900,22.396339777962300,64.4486,25.2996
5410,65.284,25.448,6.138149835775960,1751870650017,BLE,5,"[""966""]",67.61560676307760,18.497190392304500,65.2843,25.303
5410,67.067,26.382,5.247850202877160,1751870645009,BLE,5,"[""63""]",67.53459537443670,24.686666535004900,67.0711,25.3103
5410,70.051,25.665,4.830653652449110,1751870638679,BLE,5,"[""966""]",69.1540728608825,23.58891661183760,70.0519,25.3223
5410,73.343,25.352,5.271289441475170,1751870633163,BLE,5,"[""966""]",71.27319227059640,28.017766433518900,73.3434,25.3357
5410,72.781,21.691,-2.6511592427247600,1751870626910,BLE,5,"[""966""]",78.2073072855276,33.16842200417420,72.781,21.6911
5410,72.309,17.944,-5.50706307330434,1751870621677,BLE,5,"[""966""]",76.36287842870320,26.496926420557200,72.3042,16.5607
